Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-01,2023,01,01,†,-1,,-7,,-4,,22,,0,,0,,0,,0,,149,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-02,2023,01,02,†,-1,,-6,,-3.5,,21.5,,0,,0,,0,T,0,T,146,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-03,2023,01,03,†,-5,,-7,,-6,,24,,0,,0,,2,,2,,144,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-04,2023,01,04,†,-1.5,,-7.5,,-4.5,,22.5,,0,,0,,3,,3,,143,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-05,2023,01,05,†,-0.5,,-9,,-4.8,,22.8,,0,,0,,32,,32,,146,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-06,2023,01,06,†,-1,,-5,,-3,,21,,0,,0,,11,,11,,171,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-07,2023,01,07,†,-1,,-4,,-2.5,,20.5,,0,,0,,7,,7,,176,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-08,2023,01,08,†,-1.5,,-3,,-2.3,,20.3,,0,,0,,17,,17,,175,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-09,2023,01,09,†,-2,,-6,,-4,,22,,0,,0,,16,,16,,186,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-10,2023,01,10,†,-1,,-4,,-2.5,,20.5,,0,,0,,0,,0,,194,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-11,2023,01,11,†,0.5,,-4,,-1.8,,19.8,,0,,0,,13,,13,,185,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-12,2023,01,12,†,0.5,,-0.5,,0,,18,,0,,30,,7,,37,,195,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-13,2023,01,13,†,0.5,,-0.5,,0,,18,,0,,10,,12,,22,,182,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-14,2023,01,14,†,0,,-2.5,,-1.3,,19.3,,0,,0,,0,T,0,T,187,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-15,2023,01,15,†,-0.5,,-4,,-2.3,,20.3,,0,,0,,9,,9,,181,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-16,2023,01,16,†,-3.5,,-4.5,,-4,,22,,0,,0,,8,,8,,187,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-17,2023,01,17,†,-3.5,,-4.5,,-4,,22,,0,,0,,8,,8,,190,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-18,2023,01,18,†,-5,,-5.5,,-5.3,,23.3,,0,,0,,17,,17,,195,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-19,2023,01,19,†,-5,,-9.5,,-7.3,,25.3,,0,,0,,1,,1,,200,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-20,2023,01,20,†,0.5,,-8,,-3.8,,21.8,,0,,0,,0,,0,,195,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-21,2023,01,21,†,-1,,-5.5,,-3.3,,21.3,,0,,0,,9,,9,,191,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-22,2023,01,22,†,-5,,-8,,-6.5,,24.5,,0,,0,,0,T,0,T,195,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-23,2023,01,23,†,-3.5,,-7.5,,-5.5,,23.5,,0,,0,,0,T,0,T,195,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2023-01-24,2023,01,24,†,1.5,,-6,,-2.3,,20.3,,0,,0,,0,,0,,193,,,,,
